Kode Asal;Kode Tujuan;Tahun;Jumlah Wisatawan;Kode Sumber;Status
MYS;IDN;2020;207523;1;Inbound
CHN;IDN;2020;183685;1;Inbound
MYS;IDN;2020;164043;1;Inbound
SGP;IDN;2020;140569;1;Inbound
AUS;IDN;2020;119242;1;Inbound
MYS;IDN;2020;114453;1;Inbound
TLS;IDN;2020;97911;1;Inbound
AUS;IDN;2020;91037;1;Inbound
TLS;IDN;2020;88202;1;Inbound
TLS;IDN;2020;86281;1;Inbound
SGP;IDN;2020;84681;1;Inbound
TLS;IDN;2020;84347;1;Inbound
TLS;IDN;2020;83294;1;Inbound
TLS;IDN;2020;81919;1;Inbound
TLS;IDN;2020;81484;1;Inbound
TLS;IDN;2020;81384;1;Inbound
TLS;IDN;2020;81100;1;Inbound
TLS;IDN;2020;80863;1;Inbound
TLS;IDN;2020;75772;1;Inbound
TLS;IDN;2020;72033;1;Inbound
MYS;IDN;2020;66414;1;Inbound
MYS;IDN;2020;62033;1;Inbound
MYS;IDN;2020;61496;1;Inbound
MYS;IDN;2020;58052;1;Inbound
MYS;IDN;2020;57864;1;Inbound
MYS;IDN;2020;53370;1;Inbound
IND;IDN;2020;51794;1;Inbound
MYS;IDN;2020;46246;1;Inbound
MYS;IDN;2020;45332;1;Inbound
AUS;IDN;2020;43734;1;Inbound
MYS;IDN;2020;43292;1;Inbound
IND;IDN;2020;41685;1;Inbound
JPN;IDN;2020;41493;1;Inbound
SGP;IDN;2020;40832;1;Inbound
KOR;IDN;2020;38830;1;Inbound
JPN;IDN;2020;33917;1;Inbound
USA;IDN;2020;33800;1;Inbound
USA;IDN;2020;28677;1;Inbound
GBR;IDN;2020;27595;1;Inbound
RUS;IDN;2020;27406;1;Inbound
KOR;IDN;2020;25223;1;Inbound
GBR;IDN;2020;24903;1;Inbound
TWN;IDN;2020;21694;1;Inbound
RUS;IDN;2020;21036;1;Inbound
SAU;IDN;2020;20671;1;Inbound
FRA;IDN;2020;18535;1;Inbound
PHL;IDN;2020;18443;1;Inbound
DEU;IDN;2020;17117;1;Inbound
DEU;IDN;2020;16562;1;Inbound
GBR;IDN;2020;15002;1;Inbound
FRA;IDN;2020;14938;1;Inbound
NLD;IDN;2020;14848;1;Inbound
PHL;IDN;2020;14188;1;Inbound
NLD;IDN;2020;13845;1;Inbound
USA;IDN;2020;13719;1;Inbound
JPN;IDN;2020;13451;1;Inbound
RUS;IDN;2020;12581;1;Inbound
IND;IDN;2020;12383;1;Inbound
CHN;IDN;2020;11586;1;Inbound
DEU;IDN;2020;11116;1;Inbound
TWN;IDN;2020;10590;1;Inbound
VNM;IDN;2020;9408;1;Inbound
CAN;IDN;2020;9402;1;Inbound
CAN;IDN;2020;9127;1;Inbound
NZL;IDN;2020;8586;1;Inbound
NLD;IDN;2020;8247;1;Inbound
SAU;IDN;2020;8180;1;Inbound
FRA;IDN;2020;8108;1;Inbound
PNG;IDN;2020;7905;1;Inbound
BGD;IDN;2020;7828;1;Inbound
THA;IDN;2020;7737;1;Inbound
THA;IDN;2020;7492;1;Inbound
NZL;IDN;2020;7250;1;Inbound
CHN;IDN;2020;7126;1;Inbound
CHN;IDN;2020;6934;1;Inbound
CHN;IDN;2020;6863;1;Inbound
PHL;IDN;2020;6830;1;Inbound
VNM;IDN;2020;6714;1;Inbound
UKR;IDN;2020;6577;1;Inbound
CHN;IDN;2020;6481;1;Inbound
KOR;IDN;2020;6083;1;Inbound
SWE;IDN;2020;5915;1;Inbound
SWE;IDN;2020;5437;1;Inbound
ITA;IDN;2020;5177;1;Inbound
ITA;IDN;2020;5057;1;Inbound
CHN;IDN;2020;4985;1;Inbound
UKR;IDN;2020;4973;1;Inbound
DNK;IDN;2020;4556;1;Inbound
ESP;IDN;2020;4272;1;Inbound
RUS;IDN;2020;4253;1;Inbound
MMR;IDN;2020;4117;1;Inbound
ESP;IDN;2020;4095;1;Inbound
DNK;IDN;2020;3934;1;Inbound
NZL;IDN;2020;3817;1;Inbound
CAN;IDN;2020;3804;1;Inbound
CHN;IDN;2020;3635;1;Inbound
ZAF;IDN;2020;3613;1;Inbound
POL;IDN;2020;3604;1;Inbound
NLD;IDN;2020;3402;1;Inbound
POL;IDN;2020;3390;1;Inbound
TLS;IDN;2021;84975;1;Inbound
TLS;IDN;2021;80377;1;Inbound
TLS;IDN;2021;76086;1;Inbound
TLS;IDN;2021;70265;1;Inbound
TLS;IDN;2021;70216;1;Inbound
TLS;IDN;2021;69516;1;Inbound
TLS;IDN;2021;69080;1;Inbound
TLS;IDN;2021;68475;1;Inbound
TLS;IDN;2021;68451;1;Inbound
TLS;IDN;2021;59389;1;Inbound
TLS;IDN;2021;54211;1;Inbound
MYS;IDN;2021;48728;1;Inbound
TLS;IDN;2021;48447;1;Inbound
MYS;IDN;2021;45322;1;Inbound
MYS;IDN;2021;44113;1;Inbound
MYS;IDN;2021;44001;1;Inbound
MYS;IDN;2021;41913;1;Inbound
MYS;IDN;2021;39434;1;Inbound
MYS;IDN;2021;37946;1;Inbound
MYS;IDN;2021;37530;1;Inbound
MYS;IDN;2021;37095;1;Inbound
MYS;IDN;2021;35871;1;Inbound
MYS;IDN;2021;34425;1;Inbound
MYS;IDN;2021;34345;1;Inbound
CHN;IDN;2021;9639;1;Inbound
CHN;IDN;2021;8272;1;Inbound
CHN;IDN;2021;6421;1;Inbound
CHN;IDN;2021;6005;1;Inbound
CHN;IDN;2021;4961;1;Inbound
CHN;IDN;2021;4889;1;Inbound
PNG;IDN;2021;4880;1;Inbound
CHN;IDN;2021;4513;1;Inbound
PNG;IDN;2021;3322;1;Inbound
PNG;IDN;2021;3212;1;Inbound
PNG;IDN;2021;3168;1;Inbound
CHN;IDN;2021;2941;1;Inbound
CHN;IDN;2021;2703;1;Inbound
SGP;IDN;2021;2541;1;Inbound
USA;IDN;2021;2508;1;Inbound
SGP;IDN;2021;2396;1;Inbound
PNG;IDN;2021;2364;1;Inbound
PNG;IDN;2021;2328;1;Inbound
RUS;IDN;2021;2324;1;Inbound
PNG;IDN;2021;2318;1;Inbound
PNG;IDN;2021;2313;1;Inbound
USA;IDN;2021;2306;1;Inbound
SGP;IDN;2021;2293;1;Inbound
USA;IDN;2021;2159;1;Inbound
USA;IDN;2021;2131;1;Inbound
CHN;IDN;2021;2119;1;Inbound
USA;IDN;2021;2116;1;Inbound
SGP;IDN;2021;2107;1;Inbound
PNG;IDN;2021;2107;1;Inbound
PNG;IDN;2021;2096;1;Inbound
PNG;IDN;2021;1913;1;Inbound
SGP;IDN;2021;1864;1;Inbound
USA;IDN;2021;1804;1;Inbound
USA;IDN;2021;1735;1;Inbound
PNG;IDN;2021;1682;1;Inbound
KOR;IDN;2021;1681;1;Inbound
USA;IDN;2021;1666;1;Inbound
USA;IDN;2021;1607;1;Inbound
NLD;IDN;2021;1574;1;Inbound
RUS;IDN;2021;1509;1;Inbound
SGP;IDN;2021;1462;1;Inbound
USA;IDN;2021;1369;1;Inbound
CHN;IDN;2021;1353;1;Inbound
NLD;IDN;2021;1344;1;Inbound
USA;IDN;2021;1337;1;Inbound
IND;IDN;2021;1301;1;Inbound
KOR;IDN;2021;1281;1;Inbound
KOR;IDN;2021;1271;1;Inbound
NLD;IDN;2021;1269;1;Inbound
USA;IDN;2021;1224;1;Inbound
SGP;IDN;2021;1195;1;Inbound
IND;IDN;2021;1168;1;Inbound
PHL;IDN;2021;1148;1;Inbound
SGP;IDN;2021;1142;1;Inbound
KOR;IDN;2021;1119;1;Inbound
NLD;IDN;2021;1057;1;Inbound
SGP;IDN;2021;1049;1;Inbound
NLD;IDN;2021;1024;1;Inbound
PHL;IDN;2021;1014;1;Inbound
PHL;IDN;2021;995;1;Inbound
SGP;IDN;2021;980;1;Inbound
PHL;IDN;2021;972;1;Inbound
NLD;IDN;2021;952;1;Inbound
IND;IDN;2021;949;1;Inbound
SGP;IDN;2021;946;1;Inbound
JPN;IDN;2021;929;1;Inbound
NLD;IDN;2021;916;1;Inbound
JPN;IDN;2021;908;1;Inbound
CHN;IDN;2021;897;1;Inbound
NLD;IDN;2021;890;1;Inbound
NLD;IDN;2021;864;1;Inbound
GBR;IDN;2021;856;1;Inbound
PHL;IDN;2021;855;1;Inbound
KOR;IDN;2021;842;1;Inbound
PHL;IDN;2021;831;1;Inbound
NLD;IDN;2021;826;1;Inbound
SGP;IDN;2022;191226;1;Inbound
MYS;IDN;2022;189193;1;Inbound
MYS;IDN;2022;131169;1;Inbound
MYS;IDN;2022;124849;1;Inbound
MYS;IDN;2022;124445;1;Inbound
MYS;IDN;2022;121035;1;Inbound
MYS;IDN;2022;112314;1;Inbound
SGP;IDN;2022;107705;1;Inbound
AUS;IDN;2022;102362;1;Inbound
SGP;IDN;2022;95549;1;Inbound
MYS;IDN;2022;95277;1;Inbound
MYS;IDN;2022;95099;1;Inbound
SGP;IDN;2022;94172;1;Inbound
AUS;IDN;2022;93105;1;Inbound
AUS;IDN;2022;92591;1;Inbound
AUS;IDN;2022;84758;1;Inbound
AUS;IDN;2022;84214;1;Inbound
AUS;IDN;2022;79538;1;Inbound
TLS;IDN;2022;75238;1;Inbound
SGP;IDN;2022;70621;1;Inbound
TLS;IDN;2022;68777;1;Inbound
SGP;IDN;2022;67758;1;Inbound
TLS;IDN;2022;67327;1;Inbound
TLS;IDN;2022;66734;1;Inbound
TLS;IDN;2022;66134;1;Inbound
AUS;IDN;2022;64636;1;Inbound
MYS;IDN;2022;63079;1;Inbound
TLS;IDN;2022;58905;1;Inbound
SGP;IDN;2022;57218;1;Inbound
MYS;IDN;2022;55214;1;Inbound
TLS;IDN;2022;54644;1;Inbound
MYS;IDN;2022;54006;1;Inbound
TLS;IDN;2022;53089;1;Inbound
IND;IDN;2022;51777;1;Inbound
TLS;IDN;2022;51121;1;Inbound
TLS;IDN;2022;50301;1;Inbound
TLS;IDN;2022;49995;1;Inbound
MYS;IDN;2022;46894;1;Inbound
TLS;IDN;2022;41515;1;Inbound
IND;IDN;2022;38818;1;Inbound
IND;IDN;2022;38234;1;Inbound
IND;IDN;2022;35160;1;Inbound
AUS;IDN;2022;34535;1;Inbound
IND;IDN;2022;32192;1;Inbound
CHN;IDN;2022;32178;1;Inbound
IND;IDN;2022;29307;1;Inbound
USA;IDN;2022;28175;1;Inbound
SGP;IDN;2022;27671;1;Inbound
IND;IDN;2022;26892;1;Inbound
FRA;IDN;2022;26824;1;Inbound
GBR;IDN;2022;24160;1;Inbound
USA;IDN;2022;23731;1;Inbound
GBR;IDN;2022;23586;1;Inbound
GBR;IDN;2022;23575;1;Inbound
GBR;IDN;2022;23436;1;Inbound
USA;IDN;2022;23351;1;Inbound
USA;IDN;2022;23330;1;Inbound
CHN;IDN;2022;22451;1;Inbound
USA;IDN;2022;22353;1;Inbound
KOR;IDN;2022;22161;1;Inbound
RUS;IDN;2022;22033;1;Inbound
USA;IDN;2022;21786;1;Inbound
DEU;IDN;2022;21373;1;Inbound
DEU;IDN;2022;21189;1;Inbound
GBR;IDN;2022;20748;1;Inbound
FRA;IDN;2022;20561;1;Inbound
CHN;IDN;2022;19846;1;Inbound
FRA;IDN;2022;19333;1;Inbound
KOR;IDN;2022;19238;1;Inbound
USA;IDN;2022;19178;1;Inbound
DEU;IDN;2022;18660;1;Inbound
KOR;IDN;2022;18487;1;Inbound
CHN;IDN;2022;18239;1;Inbound
NLD;IDN;2022;18201;1;Inbound
IND;IDN;2022;18011;1;Inbound
FRA;IDN;2022;17961;1;Inbound
GBR;IDN;2022;17874;1;Inbound
CHN;IDN;2022;16441;1;Inbound
CHN;IDN;2022;16228;1;Inbound
